id_transaccion,id_cliente,monto,fecha,id_tienda,_id,nombre,genero,edad,localizacion,ingresos,gastos_mensuales,puntos_lealtad,preferencias_producto,segmento_cliente,ratio_gasto_ingreso,monto_por_edad,nivel_lealtad,ingreso_anual_estimado,ahorro_estimado,indice_consumo,score_financiero,comportamiento_1,comportamiento_2,comportamiento_3,comportamiento_4,comportamiento_5,comportamiento_6,comportamiento_7,comportamiento_8,comportamiento_9,comportamiento_10,PCA_1,PCA_2,PCA_3
23,1095,4949.16,2020-05-10,34,{'$oid': '69fd6ef6476e52befdc83d7a'},Alta  Gracia Dávila,Masculino,79,"{'ciudad': 'Zacatecas', 'estado': 'Zacatecas'}",314995.97,271458.0,290623,['Electrónica'],Estándar,0.8617797180715739,61.8645,290.623,3779951.6399999997,43537.96999999997,276407.16,215622.585,21,44,24,12,61,68,90,6,35,7,0.853147015587193,-0.5824540944651716,0.413219883398755
24,922,6058.67,2020-08-30,3,{'$oid': '69fd6ef6476e52befdc83ccd'},Margarita Humberto Madrid Granado,Masculino,84,"{'ciudad': 'Toluca', 'estado': 'Estado de México'}",12255.78,10713.47,249683,['deportes'],Estándar,0.874085200191241,71.2784705882353,249.683,147069.36000000002,1542.3100000000013,16772.14,56064.490000000005,33,12,30,50,49,53,35,65,30,92,-0.8292850584273235,-0.2831946922807678,0.3783968444043834
25,821,3115.58,2020-06-17,8,{'$oid': '69fd6ef6476e52befdc83c68'},Ricardo Fuentes,Masculino,52,"{'ciudad': 'Torreón', 'estado': 'Coahuila'}",70836.76,7811.66,463176,"['deportes', 'Hogar y Cocina']",Estándar,0.11027536726175419,58.784528301886795,463.176,850041.1199999999,63025.09999999999,10927.24,128053.58000000002,76,90,2,57,9,55,84,50,44,55,-0.5292121438495735,0.34560402066432333,-0.17219464687292754
26,301,3344.01,2021-06-13,69,{'$oid': '69fd6ef6476e52befdc83a60'},Lic. Uriel Escobar,Masculino,35,"{'ciudad': 'Monterei', 'estado': 'Nuevo León'}",185398.34,65047.33,607576,"['BELLEZA', 'ropa y calzado']",Estándar,0.3508498466067895,92.88916666666667,607.576,2224780.08,120351.01,68391.34,214214.37,58,97,83,50,19,39,84,64,46,39,0.16807580794384247,0.47719732475547866,-0.05799827666836699
27,241,3386.96,2020-10-03,59,{'$oid': '69fd6ef6476e52befdc83a24'},Dr. Silvia Tejeda,Prefiere no decir,32,"{'ciudad': 'Chetumal', 'estado': 'Quintana Roo'}",4869.2,3062.57,513556,"['Ropa y Calzado', 'deportes', 'BELLEZA', 'ropa y calzado', 'ROPA Y CALZADO']",Estándar,0.6288386513900867,102.63515151515152,513.556,58430.399999999994,1806.6299999999997,6449.530000000001,105145.80000000002,22,92,25,57,87,36,23,3,55,4,-0.705124249495836,0.3402649865751339,0.37409664109235913
28,930,8435.87,2020-06-14,70,{'$oid': '69fd6ef6476e52befdc83cd5'},Asunción Daniel Molina,Masculino,74,"{'ciudad': 'Puebla', 'estado': 'Puebla'}",213660.11,92260.58,467344,"['hogar y cocina', 'ropa y calzado']",Estándar,0.43180801597445606,112.47826666666668,467.344,2563921.32,121399.52999999998,100696.45,200298.85499999998,89,9,50,54,28,58,69,37,1,30,0.24086904512470397,0.12090722816204053,-0.041155471229077145
29,1147,1579.44,2020-07-08,11,{'$oid': '69fd6ef6476e52befdc83dae'},Ing. Esparta Jaramillo,No binario,29,"{'ciudad': 'Colima', 'estado': 'Colim'}",156140.52,99017.53,575570,['HOGAR Y COCINA'],Premium Joven,0.6341524663010838,52.648,575.57,1873686.2399999998,57122.98999999999,100596.97,193184.26,49,12,14,66,80,15,9,3,54,38,0.11070024983439364,0.307419939060327,0.3249603920245759
30,240,6159.25,2020-02-14,36,{'$oid': '69fd6ef6476e52befdc83a23'},Esperanza Pedro Abreu Almaraz,No binario,28,"{'ciudad': 'Hermosillo', 'estado': 'Sonora'}",202382.25,191690.35,498050,['belleza'],Premium Joven,0.9471650939492275,212.38793103448276,498.05,2428587.0,10691.899999999994,197849.6,200801.125,91,69,6,8,26,1,87,33,80,51,0.4470187693231551,-0.0570417634252911,0.6667166097923973
31,1106,1916.89,2022-01-31,73,{'$oid': '69fd6ef6476e52befdc83d85'},Sofía Aguilera Sisneros,Prefiere no decir,33,"{'ciudad': 'Tapachul', 'estado': 'Chiapas'}",55079.41,25951.39,387138,['belleza'],Estándar,0.4711546264815385,56.37911764705883,387.138,660952.92,29128.020000000004,27868.28,104967.30500000001,59,54,76,63,38,95,18,59,1,78,-0.5695513609294731,0.104185719608277,0.11637141439207588
32,200,6915.09,2022-09-02,62,{'$oid': '69fd6ef6476e52befdc839fb'},Maximiliano Gil Trujillo,Masculino,40,"{'ciudad': 'Morel', 'estado': 'Michoacan'}",24763.31,5422.04,167692,['DEPORTES'],Estándar,0.2189457327904553,168.66073170731707,167.692,297159.72000000003,19341.27,12337.130000000001,45920.055,42,54,84,9,40,9,93,15,63,36,-0.8643624583843695,-0.15428109033747603,-0.14927070947536253
33,14,3336.99,2022-08-06,56,{'$oid': '69fd6ef6476e52befdc83941'},Leonardo Yolanda Gamboa,Masculino,73,"{'ciudad': 'Tijuan', 'estado': 'Baja California'}",180570.82,121435.87,86932,"['Deportes', 'Electrónica', 'DEPORTES', 'hogar y cocina', 'deportes']",Estándar,0.6725073159255968,45.09445945945946,86.932,2166849.84,59134.95000000001,124772.86,107671.81,92,28,87,60,25,23,75,56,55,95,-0.07632748743856088,-0.673183338862743,0.04130954322465241
34,844,5344.05,2023-08-25,22,{'$oid': '69fd6ef6476e52befdc83c7f'},Mtro. Javier Cabán,Prefiere no decir,49,"{'ciudad': 'Querétaro', 'estado': 'Queretrao'}",30504.67,24551.48,568302,"['ELECTRÓNICA', 'deportes', 'hogar y cocina', 'ropa y calzado', 'BELLEZA']",Estándar,0.8048169405884218,106.881,568.302,366056.04,5953.189999999999,29895.53,128912.73500000002,60,56,30,63,99,52,48,61,86,83,-0.5177672666863787,0.3336399810672929,0.5132971676072511
35,890,8355.1,2023-11-24,36,{'$oid': '69fd6ef6476e52befdc83cad'},Julio César Cortez,No binario,29,"{'ciudad': 'Zacatecs', 'estado': 'Zacatecas'}",297120.02,56159.46,151657,"['HOGAR Y COCINA', 'BELLEZA', 'Belleza']",Premium Joven,0.18901207326226868,278.50333333333333,151.657,3565440.24,240960.56000000003,64514.56,178891.41,80,99,30,72,69,26,72,68,77,60,0.346747185473099,-0.25717581880860213,-0.7764662281804136
36,721,3832.21,2022-02-28,68,{'$oid': '69fd6ef6476e52befdc83c04'},Olivia Sisneros,No binario,41,"{'ciudad': 'Cuernavaca', 'estado': 'Moreloz'}",315803.85,249404.12,420220,"['Hogar y Cocina', 'Deportes', 'HOGAR Y COCINA', 'ROPA Y CALZADO', 'belleza']",Estándar,0.7897412595151722,91.24309523809524,420.22,3789646.1999999997,66399.72999999998,253236.33,241945.925,15,69,38,3,71,60,91,79,27,51,0.9143843681093624,-0.25282709186615404,0.33325180683065586
37,671,3856.11,2021-02-20,14,{'$oid': '69fd6ef6476e52befdc83bd2'},Mauricio Flavio Valdivia Echeverría,Prefiere no decir,45,"{'ciudad': 'Chetumal', 'estado': 'Quintan Roo'}",156477.61,110067.21,161191,"['electrónica', 'HOGAR Y COCINA', 'BELLEZA', 'ELECTRÓNICA', 'ropa y calzado']",Estándar,0.7034009951903332,83.82847826086957,161.191,1877731.3199999998,46410.39999999998,113923.32,110477.00499999999,62,98,58,73,23,18,66,71,15,76,-0.13125044225620452,-0.5105535127067838,0.11368628837653677
38,798,129.87,2022-01-10,28,{'$oid': '69fd6ef6476e52befdc83c51'},Araceli José Jimínez,Prefiere no decir,46,"{'ciudad': 'Saltillo', 'estado': 'Coahuila'}",284323.93,24345.44,342958,['DEPORTES'],Estándar,0.08562541455650759,2.7631914893617022,342.958,3411887.16,259978.49,24475.309999999998,210753.565,62,98,94,13,89,97,23,68,81,49,0.30621740005604825,0.13911265692509595,-0.7989394794687869
39,1048,5390.25,2021-06-07,35,{'$oid': '69fd6ef6476e52befdc83d4b'},Cecilia Nicolás Mercado,Femenino,70,"{'ciudad': 'Torreón', 'estado': 'Coahuila'}",123724.65,2233.97,593914,"['Hogar y Cocina', 'hogar y cocina', 'deportes', 'Deportes']",Estándar,0.018055835633112454,75.91901408450704,593.914,1484695.7999999998,121490.68,7624.219999999999,180645.125,47,77,41,9,65,78,85,62,9,15,-0.24913184203623806,0.6170076648128295,-0.3193825579572446
40,756,3995.92,2021-01-22,1,{'$oid': '69fd6ef6476e52befdc83c27'},Alejandra Pascual Quintanilla Ramón,Prefiere no decir,34,"{'ciudad': 'Villaermosa', 'estado': 'Tabasco'}",170934.46,113878.7,452816,"['Hogar y Cocina', 'hogar y cocina', 'ELECTRÓNICA', 'ropa y calzado']",Estándar,0.6662087550470803,114.16914285714286,452.816,2051213.52,57055.759999999995,117874.62,176030.43,62,58,94,95,22,58,10,67,69,73,0.11631816534008732,0.02152667171542494,0.25061306324200244
41,1048,3957.04,2023-04-27,71,{'$oid': '69fd6ef6476e52befdc83d4b'},Cecilia Nicolás Mercado,Femenino,70,"{'ciudad': 'Torreón', 'estado': 'Coahuila'}",123724.65,2233.97,593914,"['Hogar y Cocina', 'hogar y cocina', 'deportes', 'Deportes']",Estándar,0.018055835633112454,55.732957746478874,593.914,1484695.7999999998,121490.68,6191.01,180645.125,51,78,57,89,64,65,38,23,59,91,-0.2531485425840341,0.5990905943137668,-0.31594141837260753
42,265,2919.95,2022-06-10,43,{'$oid': '69fd6ef6476e52befdc83a3c'},Paulina Linares,No binario,24,"{'ciudad': 'Morelia', 'estado': 'Michoacan'}",117209.8,15938.5,269035,"['Ropa y Calzado', 'BELLEZA', 'hogar y cocina']",Premium Joven,0.13598149658563885,116.79799999999999,269.035,1406517.6,101271.3,18858.45,112411.9,55,75,36,52,68,77,59,14,23,84,-0.41747133958677385,0.036580923792167874,-0.369184285956331
43,865,5481.88,2020-01-22,46,{'$oid': '69fd6ef6476e52befdc83c94'},María Luisa Nava Cornejo,Prefiere no decir,55,"{'ciudad': 'Colima', 'estado': 'Colma'}",298311.01,135927.82,604394,"['Ropa y Calzado', 'DEPORTES', 'Hogar y Cocina', 'HOGAR Y COCINA']",Estándar,0.45565654564159186,97.89071428571428,604.394,3579732.12,162383.19,141409.7,270034.305,64,42,64,62,58,79,68,6,11,28,0.7522722703646096,0.32100537381215416,-0.03677910102120385
44,423,1947.32,2023-07-29,10,{'$oid': '69fd6ef6476e52befdc83ada'},Ing. Benjamín Rivero,No binario,85,"{'ciudad': 'Morelía', 'estado': 'Michoacán'}",143532.24,114643.95,307120,"['Hogar y Cocina', 'DEPORTES', 'Ropa y Calzado']",Estándar,0.7987275282018298,22.643255813953488,307.12,1722386.88,28888.289999999994,116591.27,133190.12,3,38,98,8,28,69,85,33,24,25,-0.10744948595697534,-0.3057239788094773,0.3380609970435586
45,324,3076.05,2022-12-10,5,{'$oid': '69fd6ef6476e52befdc83a77'},Uriel Felipe Jasso,Masculino,20,"{'ciudad': 'Chetumal', 'estado': 'Quintana Roo'}",119421.28,104106.19,406101,['deportes'],Premium Joven,0.8717484710558198,146.47857142857143,406.101,1433055.3599999999,15315.089999999997,107182.24,140930.84000000003,51,68,16,95,78,14,43,9,72,80,-0.10239517259011122,-0.06371431231737223,0.48055811654155284
46,115,2492.97,2022-02-27,46,{'$oid': '69fd6ef6476e52befdc839a6'},Jaqueline Omar Pizarro Matos,Masculino,56,"{'ciudad': 'Guadalajara', 'estado': 'Jalisco'}",119613.0,50397.34,490491,"['HOGAR Y COCINA', 'BELLEZA', 'belleza', 'Electrónica']",Estándar,0.4213331215409567,43.73631578947368,490.491,1435356.0,69215.66,52890.31,157904.7,7,53,88,45,97,78,12,12,98,82,-0.2129213926209399,0.26193450725602535,0.05388131430069426
47,1174,8539.92,2022-12-05,44,{'$oid': '69fd6ef6476e52befdc83dc9'},Luis Miguel Guillermo Corral,Masculino,21,"{'ciudad': 'La Paz', 'estado': 'Baja California Sur'}",247409.21,176412.01,116894,['BELLEZA'],Premium Joven,0.7130344782456635,388.1781818181818,116.894,2968910.52,70997.19999999998,184951.93000000002,147083.405,21,33,78,53,68,46,53,99,54,36,0.3581271416461864,-0.6303146299652984,0.04517453533275673
48,237,8154.02,2021-04-12,6,{'$oid': '69fd6ef6476e52befdc83a20'},Lucía Negrete Chapa,Femenino,51,"{'ciudad': 'Tepic', 'estado': 'Nayarit'}",107301.28,78961.5,108156,"['Hogar y Cocina', 'belleza', 'BELLEZA', 'electrónica', 'HOGAR Y COCINA']",Estándar,0.7358790512186694,156.80807692307692,108.156,1287615.3599999999,28339.78,87115.52,75281.84,73,71,90,63,75,69,14,95,31,4,-0.40790409184184484,-0.5670976798550639,0.13532806695499094
49,183,9510.89,2021-09-07,2,{'$oid': '69fd6ef6476e52befdc839ea'},Abril Rendón,No binario,19,"{'ciudad': 'Morelía', 'estado': 'Michoacan'}",197520.45,81921.97,85848,"['Deportes', 'belleza', 'deportes', 'ELECTRÓNICA']",Premium Joven,0.4147497398383821,475.54449999999997,85.848,2370245.4000000004,115598.48000000001,91432.86,115929.82500000001,39,56,72,95,96,75,52,51,22,21,-0.034483432798962044,-0.44924063023882943,-0.32317519357675095
50,1011,3609.43,2020-04-09,54,{'$oid': '69fd6ef6476e52befdc83d26'},Lic. Marisol Samaniego,Prefiere no decir,64,"{'ciudad': 'Chetumal', 'estado': 'Quintana Roo'}",318405.74,279264.22,331258,"['Electrónica', 'Belleza', 'belleza']",Estándar,0.8770675520248095,55.52969230769231,331.258,3820868.88,39141.52000000002,282873.64999999997,225454.47,18,72,14,81,4,32,84,3,14,91,0.9095842153139679,-0.5368963099747251,0.4553677418832551
51,153,4681.97,2023-10-04,73,{'$oid': '69fd6ef6476e52befdc839cc'},Sr(a). Raquel Reséndez,Femenino,68,"{'ciudad': 'Zacatecas', 'estado': 'Zacatecas'}",293421.02,28555.85,496629,"['belleza', 'hogar y cocina', 'DEPORTES', 'ropa y calzado', 'electrónica']",Estándar,0.09732006479949935,67.85463768115942,496.629,3521052.24,264865.17000000004,33237.82,246036.31,4,51,31,57,1,51,72,56,5,65,0.4478136893082112,0.3652802679942421,-0.695732009656275
52,1136,1561.54,2020-10-13,65,{'$oid': '69fd6ef6476e52befdc83da3'},Lic. Ángela Olivares,Femenino,63,"{'ciudad': 'Villahermsa', 'estado': 'Tabazco'}",9750.03,2235.87,137905,"['belleza', 'deportes', 'Belleza']",Estándar,0.22929577695894687,24.3990625,137.905,117000.36000000002,7514.160000000001,3797.41,32456.015,89,74,66,54,26,69,91,46,17,69,-0.9905721355057003,-0.26490672153653727,-0.14948639938000238
53,689,3216.79,2021-10-11,64,{'$oid': '69fd6ef6476e52befdc83be4'},Leonardo Mateo Sánchez Pedroza,Prefiere no decir,43,"{'ciudad': 'Querétaro', 'estado': 'Queretrao'}",339128.69,246446.16,748997,"['hogar y cocina', 'ROPA Y CALZADO']",Estándar,0.7267018113335934,73.10886363636364,748.997,4069544.2800000003,92682.53,249662.95,319363.745,60,43,68,19,33,15,61,36,82,10,1.2089538845042986,0.3469058283414613,0.4635753111090985
54,979,1731.0,2021-08-11,21,{'$oid': '69fd6ef6476e52befdc83d06'},Gabriel Treviño Montaño,Masculino,75,"{'ciudad': 'Culiacán', 'estado': 'sinalo'}",179006.77,81919.42,153095,"['Belleza', 'electrónica', 'hogar y cocina']",Estándar,0.4576305263173772,22.776315789473685,153.095,2148081.2399999998,97087.34999999999,83650.42,120122.385,14,15,65,67,81,53,41,13,83,50,-0.13300265588986537,-0.42159343682506917,-0.190673904593561
55,875,3101.54,2020-11-26,38,{'$oid': '69fd6ef6476e52befdc83c9e'},Gerónimo Lilia Zepeda Tejeda,No binario,69,"{'ciudad': 'Puerto Vallarta', 'estado': 'Jalisko'}",117961.67,108336.4,411292,"['HOGAR Y COCINA', 'ropa y calzado', 'ROPA Y CALZADO']",Estándar,0.9183956246497302,44.30771428571428,411.292,1415540.04,9625.270000000004,111437.93999999999,141239.23500000002,9,38,55,46,27,71,21,13,71,85,-0.13675113710349096,-0.1423544184864733,0.5446302119584641
56,830,3313.05,2022-02-20,79,{'$oid': '69fd6ef6476e52befdc83c71'},Tomás Naranjo,Masculino,66,"{'ciudad': 'Chihuahua', 'estado': 'Chihuahua'}",320119.37,158487.2,625867,"['ROPA Y CALZADO', 'Ropa y Calzado', 'ropa y calzado', 'DEPORTES', 'BELLEZA']",Estándar,0.49508627020517315,49.44850746268657,625.867,3841432.44,161632.16999999998,161800.25,285233.085,90,15,84,94,42,69,48,58,90,10,0.8780359867241505,0.2828702261592008,-0.005570713820409912
